frame,back_left_x,back_left_y,back_right_x,back_right_y,front_left_x,front_left_y,front_right_x,front_right_y,base_y,indent
0,228,193,407,192,217,236,419,236,274,0
1,228,193,407,192,217,236,419,236,274,0
2,228,193,407,192,217,236,419,236,274,0
3,228,193,407,192,217,236,419,236,274,0
4,228,193,407,192,217,236,419,236,274,0
5,228,193,407,192,217,236,419,236,274,0
6,228,193,407,192,217,236,419,236,274,0
7,228,193,407,192,217,236,419,236,274,0
8,228,193,407,192,217,236,419,236,274,0
9,228,193,407,192,217,236,419,236,274,0
10,228,193,407,192,217,236,419,236,274,0
11,228,193,407,192,217,236,419,236,274,0
12,228,193,407,192,217,236,419,236,274,0
13,228,193,407,192,217,236,419,236,274,0
14,228,193,407,192,217,236,419,236,274,0
15,228,193,407,192,217,236,419,236,274,0
16,228,193,407,192,217,236,419,236,274,0
17,228,193,407,192,217,236,419,236,274,0
18,228,193,407,192,217,236,419,236,274,0
19,228,193,407,192,217,236,419,236,274,0
20,228,193,407,192,217,236,419,236,274,0
21,228,193,407,192,217,236,419,236,274,0
22,228,193,407,192,217,236,419,236,274,0
23,228,193,407,192,217,236,419,236,274,0
24,228,193,407,192,217,236,419,236,274,0
25,228,193,407,192,217,236,419,236,274,0
26,228,193,407,192,217,236,419,236,274,0
27,228,193,407,192,217,236,419,236,274,0
28,228,193,407,192,217,236,419,236,274,0
29,228,193,407,192,217,236,419,236,274,0
30,228,193,407,192,217,236,419,236,274,0
31,228,193,407,192,217,236,419,236,274,0
32,228,193,407,192,217,236,419,236,274,0
33,228,193,407,192,217,236,419,236,274,0
34,228,193,407,192,217,236,419,236,274,0
35,228,193,407,192,217,236,419,236,274,0
36,228,193,407,192,217,236,419,236,274,0
37,228,193,407,192,217,236,419,236,274,0
38,228,193,407,192,217,236,419,236,274,0
39,228,193,407,192,217,236,419,236,274,0
40,228,193,407,192,217,236,419,236,274,0
41,228,193,407,192,217,236,419,236,274,0
42,228,193,407,192,217,236,419,236,274,0
43,228,193,407,192,217,236,419,236,274,0
44,228,193,407,192,217,236,419,236,274,0
45,228,193,407,192,217,236,419,236,274,0
46,228,193,407,192,217,236,419,236,274,0
47,228,193,407,192,217,236,419,236,274,0
